PC1,PC2,PC3,PC4,PC5,label
7.6684623,-0.5957186,-0.66635114,-0.8264291,-0.13798855,Healthy
0.316032,-0.91698444,0.06529096,0.7445521,-1.1266598,Healthy
4.386591,0.75721,0.2927494,-0.34915432,0.2215885,Healthy
-2.184048,-0.44742647,3.0790527,0.960638,0.063547954,Healthy
1.9114343,2.2951565,0.14841433,1.1578901,0.94704694,Healthy
6.5673113,1.2130562,-0.17034866,-0.43524975,0.63772774,Healthy
5.9188404,-3.2337806,-0.32568216,-1.1065803,-0.3721407,Healthy
1.7242461,-1.0862626,-0.002477542,0.70831484,-0.8383843,Healthy
2.795229,0.15516098,2.5776298,0.55634606,-0.86849684,Healthy
-1.0466238,0.9848555,0.07842232,-1.206601,-0.07257891,Healthy
3.240181,-3.6033006,3.1547654,-0.729752,-0.026234156,Healthy
5.5641427,-0.64746606,-1.7796489,0.3938294,1.0276588,Healthy
2.1723475,1.3034089,0.2251555,0.33706632,-0.5888524,Healthy
1.0717913,0.56497115,0.97968787,0.76304805,-0.45879805,Healthy
1.9557916,-0.88923305,0.59878874,-0.16765444,-0.25680566,Healthy
-5.353883,-0.0024630234,-0.5113303,1.1453468,-1.178835,Healthy
1.591056,-1.0331696,-0.12881504,0.2583613,-0.17042251,Healthy
5.621716,3.1537886,0.3443356,0.3753854,-2.128137,Healthy
4.852684,1.3443283,-0.3361552,0.27600092,-1.1297967,Healthy
5.0241256,3.5751977,0.02771173,1.0267618,0.4837018,Healthy
0.6216254,2.0498865,0.19306335,-0.96065354,-1.8712648,Healthy
5.169542,-0.43935224,-0.22653535,-1.046647,-1.3652389,Healthy
6.1900625,4.604809,-0.48318705,2.2203562,-0.027584558,Healthy
5.675869,-2.2112184,-1.2942765,-0.80317336,0.29910415,Healthy
-2.0028834,0.24836731,0.5896808,0.66411364,-0.1531805,Healthy
1.537769,1.296709,-0.07261722,-0.97032845,-0.40685445,Healthy
5.347265,-0.18091193,-0.0806582,-1.0312991,1.1823084,Healthy
7.38381,-2.3455298,-2.2636216,-1.092461,-0.04735036,Healthy
7.0312734,-0.39602137,-1.9365231,-0.41319048,0.8940109,Healthy
-0.29779002,0.24736495,-0.08207746,-1.0378499,0.25791228,Healthy
0.022569409,-1.2260901,3.692206,-0.05440302,0.6980411,Healthy
-0.5357955,1.0496916,0.24008672,-0.87827754,-1.2978313,Healthy
4.0545993,-2.338627,0.11361132,-0.791983,0.5233962,Healthy
1.1201676,0.5582224,1.7592669,0.4502395,0.63738084,Healthy
0.62325364,0.10494412,-0.0067954026,0.98203886,1.4237581,Healthy
5.178991,4.371435,0.12006916,1.8988614,-0.42510843,Healthy
1.8693801,2.1235678,0.678696,0.76487684,0.32196012,Healthy
1.0900993,0.5742225,-0.24108899,0.5799829,0.49464756,Healthy
-2.9040782,1.0460514,-0.42104626,0.021382205,-1.5892925,Healthy
3.2742646,0.40494737,1.1521331,0.63280404,-0.5081874,Healthy
4.85473,1.7957405,-1.2328813,1.9680114,0.5345258,Healthy
-1.0094813,0.13763268,0.37384847,-0.24527831,0.26856068,Healthy
1.907303,0.72094035,0.34573862,-0.39236033,3.550705,Healthy
-1.633241,0.7579141,-0.5742367,-0.12118587,-0.54206026,Healthy
-1.0582376,0.26712257,0.37107414,-0.13843776,0.20220289,Healthy
1.4397135,1.7000104,0.10391559,-0.05699006,-1.4202493,Healthy
-0.53930956,0.40625182,0.00938068,-1.0306482,0.21134976,Healthy
1.3901536,-0.966438,0.5439228,0.06778461,-0.1629189,Healthy
-2.110946,0.53702587,-0.4470386,-0.88858104,0.029772557,Healthy
0.48734096,1.6214277,0.3858071,-0.9402429,-1.7450374,Healthy
5.1911726,1.1061693,-0.044075966,0.26436007,0.8914587,Healthy
3.3594425,0.0636557,1.1911604,0.3591728,-0.47081196,Healthy
