model,cv_macro_f1,cv_std,cv_accuracy,mean_fit_seconds
Random forest,0.9636475644200724,0.005248333428668769,0.9637377963737795,1.0275005666577879
RBF SVM C=10.0,0.95394278117658,0.01564969978583392,0.9539748953974896,0.24648096666593725
RBF SVM C=1.0,0.9385568691374404,0.016877330150110097,0.9386331938633193,0.2671313666505739
Logistic regression C=1.0,0.9177098592995684,0.007111182045724124,0.9177126917712691,0.0442871333216317
Logistic regression C=0.1,0.9149183586387997,0.005218036399743264,0.9149232914923292,0.12249530000068869
5-nearest neighbors,0.8911938979562488,0.018063586392116224,0.8912133891213389,0.019585333318294335
Majority baseline,0.3379501385041552,5.551115123125783e-17,0.5104602510460251,0.0029373333090916276
