model,features,cv_macro_f1,cv_std,cv_accuracy,mean_fit_seconds,fold_f1
Random forest,handcrafted,0.9633468513926826,0.007173547262889574,0.9643961352657006,1.2306892999913543,"[0.9726327312534209, 0.9622421309168296, 0.9551656920077972]"
RBF SVM C=10.0,handcrafted,0.9426266671400348,0.024552811793589324,0.9444109996283908,0.4005757333555569,"[0.9487418983722705, 0.909968142573526, 0.9691699604743083]"
RBF SVM C=1.0,handcrafted,0.9393805052299458,0.013513079546266548,0.9410590858416946,0.38444723332456004,"[0.9453825497246371, 0.9206668582926127, 0.9520921076725875]"
Logistic regression C=0.1,handcrafted,0.9181532591529185,0.017011229346340948,0.9198996655518394,0.11419196667460103,"[0.9421447289310387, 0.9046148255813953, 0.9077002229463214]"
Logistic regression C=1.0,handcrafted,0.9158946560838471,0.02334991715342583,0.917670011148272,0.058903333342944585,"[0.948849104859335, 0.8975922807336945, 0.9012425826585119]"
5-nearest neighbors,handcrafted,0.8867056450626966,0.043837331555444815,0.8910107766629506,0.025976699970973034,"[0.9275653923541247, 0.8258972097126143, 0.9066543331213506]"
Majority baseline,handcrafted,0.3637646305786079,0.0005528357925498471,0.5717465626161279,0.0023981333166981735,"[0.3644067796610169, 0.3630573248407643, 0.3638297872340426]"
